Date,Name,Status,Project,Count
3/27/2013,Joan Touzet,Closed,CouchDB,31
3/27/2013,Joan Touzet,Open,CouchDB,31
4/12/2018,Tak Lon (Stephen) Wu,Patch Available,HBase,31
7/13/2017,Hive QA,Patch Available,Hive,31
10/3/2017,Hive QA,Patch Available,Hive,31
7/19/2018,Hive QA,Patch Available,Hive,31
8/1/2018,Hive QA,Patch Available,Hive,31
8/8/2018,Hive QA,Patch Available,Hive,31
8/22/2018,Hive QA,Patch Available,Hive,31
9/11/2018,denys kuzmenko,Patch Available,Hive,31
10/22/2013,Shazron Abdullah,Closed,Apache Cordova,30
7/6/2018,Anirudh Acharya,To Do,Apache MXNet,30
7/5/2018,genericqa,Patch Available,Hadoop Distributed Data Store,30
7/10/2018,Bharat Viswanadham,Patch Available,Hadoop Distributed Data Store,30
7/10/2018,Shashikant Banerjee,Patch Available,Hadoop Distributed Data Store,30
7/16/2018,Vikas Vishwakarma,Patch Available,HBase,30
7/25/2018,Hudson,Resolved,HBase,30
7/25/2018,Vishal Khandelwal,Patch Available,HBase,30
8/17/2018,Mingliang Liu,Patch Available,HBase,30
9/20/2018,stack,Patch Available,HBase,30
7/5/2017,Hive QA,Patch Available,Hive,30
8/7/2018,Ilya Kasnacheev,Open,Ignite,30
11/10/2016,Hadoop QA,Patch Available,Oozie,30
8/1/2018,Josh Elser,Patch Available,Ratis,30
7/26/2018,Apache Spark,In Progress,Spark,30
8/2/2018,Apache Spark,In Progress,Spark,30
8/15/2016,Allen Wittenauer,Patch Available,Yetus,30
8/17/2018,Wes McKinney,Open,Apache Arrow,29
8/19/2018,Vladimir Sitnikov,Open,Calcite,29
4/10/2018,Ewan Higgs,Patch Available,Hadoop HDFS,29
1/31/2018,Naganarasimha G R,Patch Available,Hadoop YARN,29
7/26/2018,Hari Sekhon,Open,HBase,29
7/30/2018,Allan Yang,Patch Available,HBase,29
11/10/2016,Andras Salamon,Patch Available,Oozie,29
8/23/2018,Apache Spark,Open,Spark,29
9/20/2018,Apache Spark,Open,Spark,29
8/7/2018,Wes McKinney,Open,Apache Arrow,28
6/18/2013,Shazron Abdullah,Closed,Apache Cordova,28
9/10/2018,Nicola Ferraro,Open,Camel,28
7/17/2018,bambus,Resolved,CXF,28
7/3/2018,Chesnay Schepler,Open,Flink,28
7/23/2018,Lu Li,Patch Available,Hive,28
7/27/2018,BELUGA BEHR,Open,Hive,28
7/29/2018,Sankar Hariappan,Open,Hive,28
8/3/2018,Vihang Karajgaonkar,Patch Available,Hive,28
8/27/2018,Hive QA,Patch Available,Hive,28
8/12/2018,Deepak Nigam,Patch Available,OFBiz,28
6/26/2018,Hadoop QA,Patch Available,Oozie,28
7/2/2018,Xiangrui Meng,Open,Spark,28
9/21/2018,Apache Spark,In Progress,Spark,28
8/6/2018,Wes McKinney,Open,Apache Arrow,27
6/4/2013,Shazron Abdullah,Closed,Apache Cordova,27
8/8/2018,Vladimir Sitnikov,Open,Calcite,27
7/26/2018,Jason Brown,Open,Cassandra,27
8/15/2018,Steve Loughran,Open,Hadoop Common,27
7/23/2018,Bharat Viswanadham,Patch Available,Hadoop Distributed Data Store,27
8/16/2018,Anu Engineer,Patch Available,Hadoop Distributed Data Store,27
9/13/2018,Bharat Viswanadham,Patch Available,Hadoop Distributed Data Store,27
9/13/2018,Hadoop QA,Patch Available,Hadoop Distributed Data Store,27
7/19/2018,Chao Sun,Patch Available,Hadoop HDFS,27
11/14/2017,Sunil Govindan,Patch Available,Hadoop YARN,27
8/2/2018,Hadoop QA,Patch Available,HBase,27
5/14/2018,Hive QA,Patch Available,Hive,27
6/16/2018,Hive QA,Patch Available,Hive,27
6/18/2018,Hive QA,Patch Available,Hive,27
7/31/2018,Hive QA,Patch Available,Hive,27
8/16/2018,Oleg Kalnichevski,Open,HttpComponents HttpClient,27
8/2/2018,Hudson,Open,Jackrabbit Oak,27
4/11/2018,Lev Bronshtein,Open,Phoenix,27
10/25/2015,Jan Høydahl,In Progress,Solr,27
7/10/2018,Apache Spark,Open,Spark,27
7/27/2018,Apache Spark,Open,Spark,27
8/13/2018,Apache Spark,Open,Spark,27
9/3/2018,Apache Spark,Open,Spark,27
9/27/2018,Apache Spark,In Progress,Spark,27
9/17/2018,Mark Schoeni,Open,Spot,27
5/3/2018,Hadoop QA,In Progress,ZooKeeper,27
5/22/2013,Shazron Abdullah,Closed,Apache Cordova,26
6/14/2013,Shazron Abdullah,Closed,Apache Cordova,26
5/1/2014,Shazron Abdullah,Closed,Apache Cordova,26
9/10/2018,Denis Davydenko,To Do,Apache MXNet,26
8/7/2018,Willem Jiang,Open,Apache ServiceComb,26
7/6/2018,Stamatis Zampetakis,Open,Calcite,26
7/26/2018,Alex D Herbert,Open,Commons RNG,26
7/2/2018,Steve Loughran,Open,Hadoop Common,26
8/9/2018,Thomas Marquardt,Patch Available,Hadoop Common,26
6/25/2018,Zsolt Venczel,Patch Available,Hadoop HDFS,26
7/2/2018,Steve Loughran,Open,Hadoop HDFS,26
7/16/2018,Hadoop QA,Patch Available,HBase,26
10/9/2017,Alexander Kolbasov,Patch Available,Hive,26
7/26/2018,Alice Fan,Patch Available,Hive,26
7/29/2018,Hive QA,Patch Available,Hive,26
8/17/2018,Hive QA,Patch Available,Hive,26
9/10/2018,Hive QA,Patch Available,Hive,26
6/21/2018,Alexander Klimetschek,Open,Jackrabbit Oak,26
7/15/2018,Chao Long,Open,Kylin,26
3/8/2018,Sharan Foga,Resolved,OFBiz,26
1/14/2018,Peter Bacsko,Patch Available,Oozie,26
8/14/2018,Tsz Wo Nicholas Sze,Patch Available,Ratis,26
7/10/2018,Apache Spark,In Progress,Spark,26
8/28/2018,Apache Spark,In Progress,Spark,26
4/5/2013,Shazron Abdullah,Closed,Apache Cordova,25
7/23/2018,Vandana Kannan,To Do,Apache MXNet,25
9/20/2018,Daniel Oliveira,Open,Beam,25
8/7/2018,Jun He,Open,Bigtop,25
9/13/2018,Vladimir Sitnikov,Open,Calcite,25
8/27/2018,Raymond Augé,Open,Geronimo,25
7/17/2018,Hari Sekhon,Open,Hadoop HDFS,25
8/6/2018,Virajith Jalaparti,Patch Available,Hadoop HDFS,25
8/22/2018,yanghuafeng,Open,Hadoop HDFS,25
8/22/2018,Íñigo Goiri,Patch Available,Hadoop HDFS,25
9/18/2018,Hadoop QA,Patch Available,Hadoop YARN,25
7/2/2018,Duo Zhang,Patch Available,HBase,25
8/21/2018,Toshihiro Suzuki,Patch Available,HBase,25
8/22/2018,Duo Zhang,Patch Available,HBase,25
7/13/2017,Zoltan Haindrich,Patch Available,Hive,25
4/10/2018,Daniel Dai,Patch Available,Hive,25
6/25/2018,Eugene Koifman,Open,Hive,25
6/30/2018,Hive QA,Patch Available,Hive,25
7/16/2018,Daniel Voros,Patch Available,Hive,25
9/17/2018,Hive QA,Patch Available,Hive,25
9/20/2018,Hive QA,Patch Available,Hive,25
7/25/2018,Tim Armstrong,Open,IMPALA,25
9/20/2018,Paul Rogers,Open,IMPALA,25
8/6/2018,Julian Reschke,Open,Jackrabbit Oak,25
9/19/2018,Karl Wright,Open,ManifoldCF,25
9/12/2018,Hadoop QA,Patch Available,Oozie,25
8/21/2018,Stanislav Livotov,Open,Solr,25
4/19/2013,Shazron Abdullah,Closed,Apache Cordova,24
7/18/2013,Shazron Abdullah,Closed,Apache Cordova,24
7/30/2018,James Taylor,Open,Apache Omid,24
3/7/2017,Gabor Bota,Patch Available,Hadoop Common,24
7/23/2018,Steve Loughran,Open,Hadoop Common,24
8/9/2018,Da Zhou,Open,Hadoop Common,24
8/17/2018,Rong Tang,Patch Available,Hadoop Common,24
8/5/2018,Lokesh Jain,Patch Available,Hadoop Distributed Data Store,24
8/31/2018,Dinesh Chitlangia,Open,Hadoop Distributed Data Store,24
7/25/2018,Surendra Singh Lilhore,Patch Available,Hadoop HDFS,24
8/1/2018,Konstantin Shvachko,Open,Hadoop HDFS,24
6/7/2018,Andrew Purtell,Patch Available,HBase,24
7/2/2018,Hadoop QA,Patch Available,HBase,24
7/6/2018,Jingyun Tian,Patch Available,HBase,24
9/4/2018,Ted Yu,Patch Available,HBase,24
10/3/2017,Misha Dmitriev,Patch Available,Hive,24
4/22/2018,mahesh kumar behera,Patch Available,Hive,24
6/28/2018,Sahil Takiar,Patch Available,Hive,24
7/27/2018,Alexey Kuznetsov,Patch Available,Ignite,24
8/2/2018,Nikolai Kulagin,Open,Ignite,24
8/9/2018,Alexander Klimetschek,Open,Jackrabbit Content Repository,24
2/9/2018,Julian Reschke,Closed,Jackrabbit Oak,24
3/6/2016,Jean-Baptiste Onofré,Resolved,Karaf,24
10/15/2016,James Taylor,Patch Available,Phoenix,24
9/12/2018,Josh Elser,Patch Available,Ratis,24
4/9/2018,Apache Spark,In Progress,Spark,24
7/10/2018,Gengliang Wang,Open,Spark,24
7/19/2018,Apache Spark,Open,Spark,24
7/23/2018,Apache Spark,Open,Spark,24
7/24/2018,Apache Spark,In Progress,Spark,24
8/7/2018,Apache Spark,Open,Spark,24
8/9/2018,Apache Spark,In Progress,Spark,24
8/17/2018,Apache Spark,Open,Spark,24
8/21/2018,Apache Spark,Open,Spark,24
8/24/2018,Apache Spark,Open,Spark,24
8/25/2018,Apache Spark,In Progress,Spark,24
8/28/2018,Apache Spark,Open,Spark,24
8/30/2018,Apache Spark,In Progress,Spark,24
9/4/2018,Apache Spark,Open,Spark,24
9/10/2018,Apache Spark,In Progress,Spark,24
9/21/2018,Apache Spark,Open,Spark,24
9/14/2018,Julian Foad,Open,Subversion,24
7/9/2018,Wes McKinney,Open,Apache Arrow,23
